,cap,ini,label,next2Cap,next2T,next2W,nextCap,nextT,nextW,palpite,prev2Cap,prev2T,prev2W,prevCap,prevT,prevW,simb,tipo,word
629,min,ncap,O,0,0,0,0,punc,.,O,0,n,tambï¿½m,min,art,as,alpha,n,plainas
630,0,simb,O,0,0,0,0,0,0,O,min,art,as,min,n,plainas,0,punc,.
631,maxmin,cap,O,min,v-fin,chegamos,min,n,curso,O,0,0,0,0,0,0,alpha,n,Neste
632,min,ncap,O,min,art,a,min,v-fin,chegamos,O,0,0,0,maxmin,n,Neste,alpha,n,curso
633,min,ncap,O,min,v-inf,ir,min,art,a,O,maxmin,n,Neste,min,n,curso,alpha,v-fin,chegamos
634,min,ncap,O,min,v-inf,apanhar,min,v-inf,ir,O,min,n,curso,min,v-fin,chegamos,alpha,art,a
635,min,ncap,O,min,art,os,min,v-inf,apanhar,O,min,v-fin,chegamos,min,art,a,alpha,v-inf,ir
636,min,ncap,O,0,n,'jungos',min,art,os,O,min,art,a,min,v-inf,ir,alpha,v-inf,apanhar
637,min,ncap,O,min,art,a,0,n,'jungos',O,min,v-inf,ir,min,v-inf,apanhar,alpha,art,os
638,0,simb,O,maxmin,prop,Paradela,min,art,a,O,min,v-inf,apanhar,min,art,os,0,n,'jungos'
639,min,ncap,O,0,punc,",",maxmin,prop,Paradela,O,min,art,os,0,n,'jungos',alpha,art,a
640,maxmin,cap,B_LOCAL,0,prop,Pisï¿½es,0,punc,",",O,0,n,'jungos',min,art,a,alpha,prop,Paradela
641,0,simb,O,0,punc,",",0,prop,Pisï¿½es,O,min,art,a,maxmin,prop,Paradela,0,punc,","
642,0,cap,B_LOCAL,0,adv,etc.,0,punc,",",O,maxmin,prop,Paradela,0,punc,",",0,prop,Pisï¿½es
643,0,simb,O,0,0,0,0,adv,etc.,O,0,punc,",",0,prop,Pisï¿½es,0,punc,","
644,0,ncap,O,0,0,0,0,0,0,O,0,prop,Pisï¿½es,0,punc,",",0,adv,etc.
645,maxmin,cap,O,min,n,lameiros,min,pron-det,esses,O,0,0,0,0,0,0,alpha,prp,Por
646,min,ncap,O,min,pron-det,todos,min,n,lameiros,O,0,0,0,maxmin,prp,Por,alpha,pron-det,esses
647,min,ncap,O,0,punc,",",min,pron-det,todos,O,maxmin,prp,Por,min,pron-det,esses,alpha,n,lameiros
648,min,ncap,O,min,prp,para,0,punc,",",O,min,pron-det,esses,min,n,lameiros,alpha,pron-det,todos
649,0,simb,O,min,n,ensinar,min,prp,para,O,min,n,lameiros,min,pron-det,todos,0,punc,","
650,min,ncap,O,min,art,a,min,n,ensinar,O,min,pron-det,todos,0,punc,",",alpha,prp,para
651,min,ncap,O,min,v-inf,preparar,min,art,a,O,0,punc,",",min,prp,para,alpha,n,ensinar
652,min,ncap,O,min,conj-c,e,min,v-inf,preparar,O,min,prp,para,min,n,ensinar,alpha,art,a
653,min,ncap,O,min,v-inf,tratar,min,conj-c,e,O,min,n,ensinar,min,art,a,alpha,v-inf,preparar
654,min,ncap,O,min,art,os,min,v-inf,tratar,O,min,art,a,min,v-inf,preparar,alpha,conj-c,e
655,min,ncap,O,0,n,'jungos',min,art,os,O,min,v-inf,preparar,min,conj-c,e,alpha,v-inf,tratar
656,min,ncap,O,0,punc,.,0,n,'jungos',O,min,conj-c,e,min,v-inf,tratar,alpha,art,os
657,0,simb,O,0,0,0,0,punc,.,O,min,v-inf,tratar,min,art,os,0,n,'jungos'
658,0,simb,O,0,0,0,0,0,0,O,min,art,os,0,n,'jungos',0,punc,.
659,0,cap,O,min,adv,pouco,min,art,um,O,0,0,0,0,0,0,0,n,Conte-nos
660,min,ncap,O,min,v-pcp,da,min,adv,pouco,O,0,0,0,0,n,Conte-nos,alpha,art,um
661,min,ncap,O,0,n,histï¿½ria,min,v-pcp,da,O,0,n,Conte-nos,min,art,um,alpha,adv,pouco
662,min,ncap,O,min,v-pcp,da,0,n,histï¿½ria,O,min,art,um,min,adv,pouco,alpha,v-pcp,da
663,0,ncap,O,min,pron-det,sua,min,v-pcp,da,O,min,adv,pouco,min,v-pcp,da,0,n,histï¿½ria
664,min,ncap,O,min,n,vida,min,pron-det,sua,O,min,v-pcp,da,0,n,histï¿½ria,alpha,v-pcp,da
665,min,ncap,O,0,punc,...,min,n,vida,O,0,n,histï¿½ria,min,v-pcp,da,alpha,pron-det,sua
666,min,ncap,O,0,0,0,0,punc,...,O,min,v-pcp,da,min,pron-det,sua,alpha,n,vida
667,0,simb,O,0,0,0,0,0,0,O,min,pron-det,sua,min,n,vida,0,punc,...
668,maxmin,cap,O,min,v-fin,fui,min,adj,pequena,O,0,0,0,0,0,0,alpha,prp,Em
669,min,ncap,O,0,n,ï¿½,min,v-fin,fui,O,0,0,0,maxmin,prp,Em,alpha,adj,pequena
670,min,ncap,O,min,n,escola,0,n,ï¿½,O,maxmin,prp,Em,min,adj,pequena,alpha,v-fin,fui
671,0,ncap,O,min,art,a,min,n,escola,O,min,adj,pequena,min,v-fin,fui,0,n,ï¿½
672,min,ncap,O,maxmin,n,Viade,min,art,a,O,min,v-fin,fui,0,n,ï¿½,alpha,n,escola
673,min,ncap,O,0,punc,",",maxmin,n,Viade,O,0,n,ï¿½,min,n,escola,alpha,art,a
674,maxmin,cap,B_LOCAL,min,adv,depois,0,punc,",",O,min,n,escola,min,art,a,alpha,n,Viade
675,0,simb,O,min,v-fin,fui,min,adv,depois,O,min,art,a,maxmin,n,Viade,0,punc,","
676,min,ncap,O,min,v-inf,servir,min,v-fin,fui,O,maxmin,n,Viade,0,punc,",",alpha,adv,depois
677,min,ncap,O,0,punc,.,min,v-inf,servir,O,0,punc,",",min,adv,depois,alpha,v-fin,fui
678,min,ncap,O,0,0,0,0,punc,.,O,min,adv,depois,min,v-fin,fui,alpha,v-inf,servir
679,0,simb,O,0,0,0,0,0,0,O,min,v-fin,fui,min,v-inf,servir,0,punc,.
680,maxmin,cap,O,min,n,casa,min,prp,em,O,0,0,0,0,0,0,alpha,v-fin,Estive
681,min,ncap,O,min,v-pcp,do,min,n,casa,O,0,0,0,maxmin,v-fin,Estive,alpha,prp,em
682,min,ncap,O,maxmin,prop,Pinto,min,v-pcp,do,O,maxmin,v-fin,Estive,min,prp,em,alpha,n,casa
683,min,ncap,O,0,punc,",",maxmin,prop,Pinto,O,min,prp,em,min,n,casa,alpha,v-pcp,do
684,maxmin,cap,B_PESSOA,min,prp,em,0,punc,",",O,min,n,casa,min,v-pcp,do,alpha,prop,Pinto
685,0,simb,O,maxmin,n,Brandim,min,prp,em,O,min,v-pcp,do,maxmin,prop,Pinto,0,punc,","
686,min,ncap,O,min,conj-c,e,maxmin,n,Brandim,O,maxmin,prop,Pinto,0,punc,",",alpha,prp,em
687,maxmin,cap,B_LOCAL,min,adv,depois,min,conj-c,e,B_LOCAL,0,punc,",",min,prp,em,alpha,n,Brandim
688,min,ncap,O,min,prp,em,min,adv,depois,O,min,prp,em,maxmin,n,Brandim,alpha,conj-c,e
689,min,ncap,O,min,n,casa,min,prp,em,O,maxmin,n,Brandim,min,conj-c,e,alpha,adv,depois
690,min,ncap,O,min,v-pcp,do,min,n,casa,O,min,conj-c,e,min,adv,depois,alpha,prp,em
691,min,ncap,O,maxmin,prop,Miranda,min,v-pcp,do,O,min,adv,depois,min,prp,em,alpha,n,casa
692,min,ncap,O,0,n,cï¿½,maxmin,prop,Miranda,O,min,prp,em,min,n,casa,alpha,v-pcp,do
693,maxmin,cap,B_PESSOA,min,prp,em,0,n,cï¿½,O,min,n,casa,min,v-pcp,do,alpha,prop,Miranda
694,0,ncap,O,maxmin,prop,Parafita,min,prp,em,O,min,v-pcp,do,maxmin,prop,Miranda,0,n,cï¿½
695,min,ncap,O,0,punc,",",maxmin,prop,Parafita,O,maxmin,prop,Miranda,0,n,cï¿½,alpha,prp,em
696,maxmin,cap,B_LOCAL,min,n,estive,0,punc,",",B_LOCAL,0,n,cï¿½,min,prp,em,alpha,prop,Parafita
697,0,simb,O,0,n,lï¿½,min,n,estive,O,min,prp,em,maxmin,prop,Parafita,0,punc,","
698,min,ncap,O,min,pron-det,muitos,0,n,lï¿½,O,maxmin,prop,Parafita,0,punc,",",alpha,n,estive
699,0,ncap,O,min,n,anos,min,pron-det,muitos,O,0,punc,",",min,n,estive,0,n,lï¿½
700,min,ncap,O,0,punc,.,min,n,anos,O,min,n,estive,0,n,lï¿½,alpha,pron-det,muitos
701,min,ncap,O,0,0,0,0,punc,.,O,0,n,lï¿½,min,pron-det,muitos,alpha,n,anos
702,0,simb,O,0,0,0,0,0,0,O,min,pron-det,muitos,min,n,anos,0,punc,.
703,maxmin,cap,O,min,n,dos,0,n,alï¿½m,O,0,0,0,0,0,0,alpha,adv,Onde
704,0,ncap,O,min,n,trabalhos,min,n,dos,O,0,0,0,maxmin,adv,Onde,0,n,alï¿½m
705,min,ncap,O,0,n,agrï¿½colas,min,n,trabalhos,O,maxmin,adv,Onde,0,n,alï¿½m,alpha,n,dos
706,min,ncap,O,0,punc,",",0,n,agrï¿½colas,O,0,n,alï¿½m,min,n,dos,alpha,n,trabalhos
707,0,ncap,O,min,n,tecia,0,punc,",",O,min,n,dos,min,n,trabalhos,0,n,agrï¿½colas
708,0,simb,O,0,punc,",",min,n,tecia,O,min,n,trabalhos,0,n,agrï¿½colas,0,punc,","
709,min,ncap,O,min,v-fin,fazia,0,punc,",",O,0,n,agrï¿½colas,0,punc,",",alpha,n,tecia
710,0,simb,O,0,n,croï¿½a,min,v-fin,fazia,O,0,punc,",",min,n,tecia,0,punc,","
711,min,ncap,O,min,conj-c,e,0,n,croï¿½a,O,min,n,tecia,0,punc,",",alpha,v-fin,fazia
712,0,ncap,O,min,v-fin,remendava,min,conj-c,e,O,0,punc,",",min,v-fin,fazia,0,n,croï¿½a
713,min,ncap,O,min,art,os,min,v-fin,remendava,O,min,v-fin,fazia,0,n,croï¿½a,alpha,conj-c,e
714,min,ncap,O,min,n,criados,min,art,os,O,0,n,croï¿½a,min,conj-c,e,alpha,v-fin,remendava
715,min,ncap,O,0,punc,.,min,n,criados,O,min,conj-c,e,min,v-fin,remendava,alpha,art,os
716,min,ncap,O,0,0,0,0,punc,.,O,min,v-fin,remendava,min,art,os,alpha,n,criados
717,0,simb,O,0,0,0,0,0,0,O,min,art,os,min,n,criados,0,punc,.
718,maxmin,cap,O,min,n,casa,min,prp,em,O,0,0,0,0,0,0,alpha,adv,Foi
719,min,ncap,O,min,n,dos,min,n,casa,O,0,0,0,maxmin,adv,Foi,alpha,prp,em
720,min,ncap,O,maxmin,prop,Mirandas,min,n,dos,O,maxmin,adv,Foi,min,prp,em,alpha,n,casa
721,min,ncap,O,min,conj-s,que,maxmin,prop,Mirandas,O,min,prp,em,min,n,casa,alpha,n,dos
722,maxmin,cap,O,min,n,conheci,min,conj-s,que,O,min,n,casa,min,n,dos,alpha,prop,Mirandas
723,min,ncap,O,min,art,o,min,n,conheci,O,min,n,dos,maxmin,prop,Mirandas,alpha,conj-s,que
724,min,ncap,O,min,pron-det,meu,min,art,o,O,maxmin,prop,Mirandas,min,conj-s,que,alpha,n,conheci
725,min,ncap,O,min,n,marido,min,pron-det,meu,O,min,conj-s,que,min,n,conheci,alpha,art,o
726,min,ncap,O,min,conj-s,que,min,n,marido,O,min,n,conheci,min,art,o,alpha,pron-det,meu
727,min,ncap,O,min,v-fin,era,min,conj-s,que,O,min,art,o,min,pron-det,meu,alpha,n,marido
728,min,ncap,O,min,prp,de,min,v-fin,era,O,min,pron-det,meu,min,n,marido,alpha,conj-s,que
729,min,ncap,O,maxmin,n,Brandim,min,prp,de,O,min,n,marido,min,conj-s,que,alpha,v-fin,era
730,min,ncap,O,0,punc,.,maxmin,n,Brandim,O,min,conj-s,que,min,v-fin,era,alpha,prp,de
731,maxmin,cap,B_LOCAL,0,0,0,0,punc,.,O,min,v-fin,era,min,prp,de,alpha,n,Brandim
732,0,simb,O,0,0,0,0,0,0,O,min,prp,de,maxmin,n,Brandim,0,punc,.
733,maxmin,cap,O,min,n,contra,min,n,casei,O,0,0,0,0,0,0,alpha,adv,Depois
734,min,ncap,O,min,n,vontade,min,n,contra,O,0,0,0,maxmin,adv,Depois,alpha,n,casei
735,min,ncap,O,min,v-pcp,da,min,n,vontade,O,maxmin,adv,Depois,min,n,casei,alpha,n,contra
736,min,ncap,O,min,pron-det,minha,min,v-pcp,da,O,min,n,casei,min,n,contra,alpha,n,vontade
737,min,ncap,O,0,n,famï¿½lia,min,pron-det,minha,O,min,n,contra,min,n,vontade,alpha,v-pcp,da
738,min,ncap,O,0,punc,.,0,n,famï¿½lia,O,min,n,vontade,min,v-pcp,da,alpha,pron-det,minha
739,0,ncap,O,0,0,0,0,punc,.,O,min,v-pcp,da,min,pron-det,minha,0,n,famï¿½lia
740,0,simb,O,0,0,0,0,0,0,O,min,pron-det,minha,0,n,famï¿½lia,0,punc,.
741,maxmin,cap,O,min,art,o,0,punc,",",O,0,0,0,0,0,0,alpha,v-fin,Trabalhou
742,0,simb,O,min,pron-det,meu,min,art,o,O,0,0,0,maxmin,v-fin,Trabalhou,0,punc,","
743,min,ncap,O,min,n,marido,min,pron-det,meu,O,maxmin,v-fin,Trabalhou,0,punc,",",alpha,art,o
744,min,ncap,O,min,n,na,min,n,marido,O,0,punc,",",min,art,o,alpha,pron-det,meu
745,min,ncap,O,min,n,barragem,min,n,na,O,min,art,o,min,pron-det,meu,alpha,n,marido
746,min,ncap,O,min,conj-c,e,min,n,barragem,O,min,pron-det,meu,min,n,marido,alpha,n,na
747,min,ncap,O,min,adv,mais,min,conj-c,e,O,min,n,marido,min,n,na,alpha,n,barragem
748,min,ncap,O,min,n,tarde,min,adv,mais,O,min,n,na,min,n,barragem,alpha,conj-c,e
749,min,ncap,O,min,v-fin,foi,min,n,tarde,O,min,n,barragem,min,conj-c,e,alpha,adv,mais
750,min,ncap,O,min,prp,para,min,v-fin,foi,O,min,conj-c,e,min,adv,mais,alpha,n,tarde
751,min,ncap,O,0,prop,Franï¿½a,min,prp,para,O,min,adv,mais,min,n,tarde,alpha,v-fin,foi
752,min,ncap,O,min,adv,onde,0,prop,Franï¿½a,O,min,n,tarde,min,v-fin,foi,alpha,prp,para
753,0,cap,B_LOCAL,min,v-fin,morreu,min,adv,onde,O,min,v-fin,foi,min,prp,para,0,prop,Franï¿½a
754,min,ncap,O,0,punc,(,min,v-fin,morreu,O,min,prp,para,0,prop,Franï¿½a,alpha,adv,onde
755,min,ncap,O,min,v-fin,tinha,0,punc,(,O,0,prop,Franï¿½a,min,adv,onde,alpha,v-fin,morreu
756,0,simb,O,min,art,a,min,v-fin,tinha,O,min,adv,onde,min,v-fin,morreu,0,punc,(
757,min,ncap,O,min,pron-det,minha,min,art,a,O,min,v-fin,morreu,0,punc,(,alpha,v-fin,tinha
758,min,ncap,O,min,n,filha,min,pron-det,minha,O,0,punc,(,min,v-fin,tinha,alpha,art,a
759,min,ncap,O,min,adv,mais,min,n,filha,O,min,v-fin,tinha,min,art,a,alpha,pron-det,minha
760,min,ncap,O,min,adj,nova,min,adv,mais,O,min,art,a,min,pron-det,minha,alpha,n,filha
761,min,ncap,O,0,num,2,min,adj,nova,O,min,pron-det,minha,min,n,filha,alpha,adv,mais
762,min,ncap,O,min,n,anos,0,num,2,O,min,n,filha,min,adv,mais,alpha,adj,nova
763,0,simb,B_VALOR,0,punc,),min,n,anos,B_VALOR,min,adv,mais,min,adj,nova,num,num,2
764,min,ncap,I_VALOR,0,punc,.,0,punc,),I_VALOR,min,adj,nova,0,num,2,alpha,n,anos
765,0,simb,O,0,0,0,0,punc,.,O,0,num,2,min,n,anos,0,punc,)
766,0,simb,O,0,0,0,0,0,0,O,min,n,anos,0,punc,),0,punc,.
767,max,cap,O,min,v-fin,fiquei,min,pron-pers,eu,O,0,0,0,0,0,0,alpha,conj-c,E
768,min,ncap,O,min,n,sozinha,min,v-fin,fiquei,O,0,0,0,max,conj-c,E,alpha,pron-pers,eu
769,min,ncap,O,min,prp,com,min,n,sozinha,O,max,conj-c,E,min,pron-pers,eu,alpha,v-fin,fiquei
770,min,ncap,O,0,num,8,min,prp,com,O,min,pron-pers,eu,min,v-fin,fiquei,alpha,n,sozinha
771,min,ncap,O,min,n,filhos,0,num,8,O,min,v-fin,fiquei,min,n,sozinha,alpha,prp,com
772,0,simb,B_VALOR,0,punc,",",min,n,filhos,O,min,n,sozinha,min,prp,com,num,num,8
773,min,ncap,O,0,n,cï¿½,0,punc,",",O,min,prp,com,0,num,8,alpha,n,filhos
774,0,simb,O,min,art,os,0,n,cï¿½,O,0,num,8,min,n,filhos,0,punc,","
775,0,ncap,O,min,n,criei,min,art,os,O,min,n,filhos,0,punc,",",0,n,cï¿½
776,min,ncap,O,0,punc,.,min,n,criei,O,0,punc,",",0,n,cï¿½,alpha,art,os
777,min,ncap,O,0,0,0,0,punc,.,O,0,n,cï¿½,min,art,os,alpha,n,criei
778,0,simb,O,0,0,0,0,0,0,O,min,art,os,min,n,criei,0,punc,.
779,maxmin,cap,O,0,n,nï¿½o,min,n,altura,O,0,0,0,0,0,0,alpha,prop,Naquela
780,min,ncap,O,min,v-fin,soube,0,n,nï¿½o,O,0,0,0,maxmin,prop,Naquela,alpha,n,altura
781,0,ncap,O,min,v-inf,tratar,min,v-fin,soube,O,maxmin,prop,Naquela,min,n,altura,0,n,nï¿½o
782,min,ncap,O,min,n,dos,min,v-inf,tratar,O,min,n,altura,0,n,nï¿½o,alpha,v-fin,soube
783,min,ncap,O,min,n,documentos,min,n,dos,O,0,n,nï¿½o,min,v-fin,soube,alpha,v-inf,tratar
784,min,ncap,O,min,conj-c,e,min,n,documentos,O,min,v-fin,soube,min,v-inf,tratar,alpha,n,dos
785,min,ncap,O,0,n,nï¿½o,min,conj-c,e,O,min,v-inf,tratar,min,n,dos,alpha,n,documentos
786,min,ncap,O,min,n,recebi,0,n,nï¿½o,O,min,n,dos,min,n,documentos,alpha,conj-c,e
787,0,ncap,O,min,pron-indp,nada,min,n,recebi,O,min,n,documentos,min,conj-c,e,0,n,nï¿½o
788,min,ncap,O,0,punc,.,min,pron-indp,nada,O,min,conj-c,e,0,n,nï¿½o,alpha,n,recebi
789,min,ncap,O,0,0,0,0,punc,.,O,0,n,nï¿½o,min,n,recebi,alpha,pron-indp,nada
790,0,simb,O,0,0,0,0,0,0,O,min,n,recebi,min,pron-indp,nada,0,punc,.
791,maxmin,cap,O,0,n,ï¿½,min,n,tarde,O,0,0,0,0,0,0,alpha,adv,Mais
792,min,ncap,O,min,conj-s,que,0,n,ï¿½,O,0,0,0,maxmin,adv,Mais,alpha,n,tarde
793,0,ncap,O,min,art,um,min,conj-s,que,O,maxmin,adv,Mais,min,n,tarde,0,n,ï¿½
794,min,ncap,O,min,n,advogado,min,art,um,O,min,n,tarde,0,n,ï¿½,alpha,conj-s,que
795,min,ncap,O,min,pron-pers,me,min,n,advogado,O,0,n,ï¿½,min,conj-s,que,alpha,art,um
796,min,ncap,O,min,v-fin,tratou,min,pron-pers,me,O,min,conj-s,que,min,art,um,alpha,n,advogado
797,min,ncap,O,min,n,dos,min,v-fin,tratou,O,min,art,um,min,n,advogado,alpha,pron-pers,me
798,min,ncap,O,0,n,papï¿½is,min,n,dos,O,min,n,advogado,min,pron-pers,me,alpha,v-fin,tratou
799,min,ncap,O,min,conj-c,e,0,n,papï¿½is,O,min,pron-pers,me,min,v-fin,tratou,alpha,n,dos
800,0,ncap,O,min,v-fin,consegui,min,conj-c,e,O,min,v-fin,tratou,min,n,dos,0,n,papï¿½is
801,min,ncap,O,min,v-inf,tirar,min,v-fin,consegui,O,min,n,dos,0,n,papï¿½is,alpha,conj-c,e
802,min,ncap,O,min,art,uma,min,v-inf,tirar,O,0,n,papï¿½is,min,conj-c,e,alpha,v-fin,consegui
803,min,ncap,O,min,adj,pequena,min,art,uma,O,min,conj-c,e,min,v-fin,consegui,alpha,v-inf,tirar
804,min,ncap,O,min,n,reforma,min,adj,pequena,O,min,v-fin,consegui,min,v-inf,tirar,alpha,art,uma
805,min,ncap,O,min,conj-c,mas,min,n,reforma,O,min,v-inf,tirar,min,art,uma,alpha,adj,pequena
806,min,ncap,O,min,n,nesta,min,conj-c,mas,O,min,art,uma,min,adj,pequena,alpha,n,reforma
807,min,ncap,O,min,n,altura,min,n,nesta,O,min,adj,pequena,min,n,reforma,alpha,conj-c,mas
808,min,ncap,O,0,n,jï¿½,min,n,altura,O,min,n,reforma,min,conj-c,mas,alpha,n,nesta
809,min,ncap,O,min,v-fin,tinha,0,n,jï¿½,O,min,conj-c,mas,min,n,nesta,alpha,n,altura
810,0,ncap,O,min,art,os,min,v-fin,tinha,O,min,n,nesta,min,n,altura,0,n,jï¿½
811,min,ncap,O,min,n,filhos,min,art,os,O,min,n,altura,0,n,jï¿½,alpha,v-fin,tinha
812,min,ncap,O,min,n,criados,min,n,filhos,O,0,n,jï¿½,min,v-fin,tinha,alpha,art,os
813,min,ncap,O,0,punc,.,min,n,criados,O,min,v-fin,tinha,min,art,os,alpha,n,filhos
814,min,ncap,O,0,0,0,0,punc,.,O,min,art,os,min,n,filhos,alpha,n,criados
815,0,simb,O,0,0,0,0,0,0,O,min,n,filhos,min,n,criados,0,punc,.
816,maxmin,cap,O,min,art,o,0,n,ï¿½,O,0,0,0,0,0,0,alpha,pron-det,Qual
817,0,ncap,O,min,pron-det,seu,min,art,o,O,0,0,0,maxmin,pron-det,Qual,0,n,ï¿½
818,min,ncap,O,min,n,nome,min,pron-det,seu,O,maxmin,pron-det,Qual,0,n,ï¿½,alpha,art,o
819,min,ncap,O,0,punc,?,min,n,nome,O,0,n,ï¿½,min,art,o,alpha,pron-det,seu
820,min,ncap,O,0,0,0,0,punc,?,O,min,art,o,min,pron-det,seu,alpha,n,nome
821,0,simb,O,0,0,0,0,0,0,O,min,pron-det,seu,min,n,nome,0,punc,?
822,maxmin,cap,B_PESSOA,min,v-pcp,da,maxmin,prop,Pires,O,0,0,0,0,0,0,alpha,n,Ventura
823,maxmin,cap,I_PESSOA,maxmin,prop,Cruz,min,v-pcp,da,O,0,0,0,maxmin,n,Ventura,alpha,prop,Pires
824,min,ncap,I_PESSOA,0,punc,.,maxmin,prop,Cruz,O,maxmin,n,Ventura,maxmin,prop,Pires,alpha,v-pcp,da
825,maxmin,cap,I_PESSOA,0,0,0,0,punc,.,B_ORGANIZACAO,maxmin,prop,Pires,min,v-pcp,da,alpha,prop,Cruz
826,0,simb,O,0,0,0,0,0,0,O,min,v-pcp,da,maxmin,prop,Cruz,0,punc,.
827,maxmin,cap,O,min,n,nascimento,min,prp,de,O,0,0,0,0,0,0,alpha,adj,Local
828,min,ncap,O,0,punc,?,min,n,nascimento,O,0,0,0,maxmin,adj,Local,alpha,prp,de
829,min,ncap,O,0,0,0,0,punc,?,O,maxmin,adj,Local,min,prp,de,alpha,n,nascimento
830,0,simb,O,0,0,0,0,0,0,O,min,prp,de,min,n,nascimento,0,punc,?
831,0,cap,B_LOCAL,0,0,0,0,punc,.,O,0,0,0,0,0,0,0,prop,Pisï¿½es
832,0,simb,O,0,0,0,0,0,0,O,0,0,0,0,prop,Pisï¿½es,0,punc,.
833,maxmin,cap,O,min,conj-s,que,0,n,ï¿½,O,0,0,0,0,0,0,alpha,adv,Quando
834,0,ncap,O,min,v-fin,nasceu,min,conj-s,que,O,0,0,0,maxmin,adv,Quando,0,n,ï¿½
835,min,ncap,O,0,punc,?,min,v-fin,nasceu,O,maxmin,adv,Quando,0,n,ï¿½,alpha,conj-s,que
836,min,ncap,O,0,0,0,0,punc,?,O,0,n,ï¿½,min,conj-s,que,alpha,v-fin,nasceu
837,0,simb,O,0,0,0,0,0,0,O,min,conj-s,que,min,v-fin,nasceu,0,punc,?
838,maxmin,cap,O,min,prp,de,0,num,7,O,0,0,0,0,0,0,alpha,n,Dia
839,0,simb,B_TEMPO,maxmin,n,Maio,min,prp,de,B_TEMPO,0,0,0,maxmin,n,Dia,num,num,7
840,min,ncap,I_TEMPO,min,prp,de,maxmin,n,Maio,I_TEMPO,maxmin,n,Dia,0,num,7,alpha,prp,de
841,maxmin,cap,I_TEMPO,0,num,1939,min,prp,de,I_TEMPO,0,num,7,min,prp,de,alpha,n,Maio
842,min,ncap,I_TEMPO,0,punc,.,0,num,1939,I_TEMPO,min,prp,de,maxmin,n,Maio,alpha,prp,de
843,0,simb,I_TEMPO,0,0,0,0,punc,.,I_TEMPO,maxmin,n,Maio,min,prp,de,num,num,1939
844,0,simb,O,0,0,0,0,0,0,O,min,prp,de,0,num,1939,0,punc,.
845,maxmin,cap,O,min,art,o,0,n,ï¿½,O,0,0,0,0,0,0,alpha,pron-det,Qual
846,0,ncap,O,min,n,nome,min,art,o,O,0,0,0,maxmin,pron-det,Qual,0,n,ï¿½
847,min,ncap,O,min,v-pcp,do,min,n,nome,O,maxmin,pron-det,Qual,0,n,ï¿½,alpha,art,o
848,min,ncap,O,min,pron-det,seu,min,v-pcp,do,O,0,n,ï¿½,min,art,o,alpha,n,nome
849,min,ncap,O,min,n,pai,min,pron-det,seu,O,min,art,o,min,n,nome,alpha,v-pcp,do
850,min,ncap,O,0,punc,?,min,n,pai,O,min,n,nome,min,v-pcp,do,alpha,pron-det,seu
851,min,ncap,O,0,0,0,0,punc,?,O,min,v-pcp,do,min,pron-det,seu,alpha,n,pai
852,0,simb,O,0,0,0,0,0,0,O,min,pron-det,seu,min,n,pai,0,punc,?
853,0,cap,B_PESSOA,min,v-pcp,da,maxmin,prop,Pires,O,0,0,0,0,0,0,0,prop,Josï¿½
854,maxmin,cap,I_PESSOA,maxmin,prop,Cruz,min,v-pcp,da,O,0,0,0,0,prop,Josï¿½,alpha,prop,Pires
855,min,ncap,I_PESSOA,0,punc,.,maxmin,prop,Cruz,O,0,prop,Josï¿½,maxmin,prop,Pires,alpha,v-pcp,da
856,maxmin,cap,I_PESSOA,0,0,0,0,punc,.,B_ORGANIZACAO,maxmin,prop,Pires,min,v-pcp,da,alpha,prop,Cruz
857,0,simb,O,0,0,0,0,0,0,O,min,v-pcp,da,maxmin,prop,Cruz,0,punc,.
858,maxmin,cap,O,min,art,o,0,n,ï¿½,O,0,0,0,0,0,0,alpha,pron-det,Qual
859,0,ncap,O,min,n,nome,min,art,o,O,0,0,0,maxmin,pron-det,Qual,0,n,ï¿½
860,min,ncap,O,min,v-pcp,da,min,n,nome,O,maxmin,pron-det,Qual,0,n,ï¿½,alpha,art,o
861,min,ncap,O,min,pron-det,sua,min,v-pcp,da,O,0,n,ï¿½,min,art,o,alpha,n,nome
862,min,ncap,O,0,n,mï¿½e,min,pron-det,sua,O,min,art,o,min,n,nome,alpha,v-pcp,da
863,min,ncap,O,0,punc,?,0,n,mï¿½e,O,min,n,nome,min,v-pcp,da,alpha,pron-det,sua
864,0,ncap,O,0,0,0,0,punc,?,O,min,v-pcp,da,min,pron-det,sua,0,n,mï¿½e
865,0,simb,O,0,0,0,0,0,0,O,min,pron-det,sua,0,n,mï¿½e,0,punc,?
866,maxmin,cap,B_PESSOA,0,punc,.,maxmin,adv,Afonso,O,0,0,0,0,0,0,alpha,prop,Aurintina
867,maxmin,cap,I_PESSOA,0,0,0,0,punc,.,O,0,0,0,maxmin,prop,Aurintina,alpha,adv,Afonso
868,0,simb,O,0,0,0,0,0,0,O,maxmin,prop,Aurintina,maxmin,adv,Afonso,0,punc,.
869,maxmin,cap,O,min,n,nome,min,art,o,O,0,0,0,0,0,0,alpha,v-fin,Diga
870,min,ncap,O,min,n,dos,min,n,nome,O,0,0,0,maxmin,v-fin,Diga,alpha,art,o
871,min,ncap,O,min,pron-det,seus,min,n,dos,O,maxmin,v-fin,Diga,min,art,o,alpha,n,nome
